Pick,1st Year Salary,2nd Year Salary,3rd Year Option Salary,"4th Year Option:
Percentage Increased Over 3rd Year Salary","Qualifying Offer:
Percentage Increase Over 4th Year Salary"
1,"$11,521,600","$12,097,900","$12,673,900",26.10%,40.00%
2,"$10,308,600","$10,824,200","$11,339,800",26.20%,40.50%
3,"$9,257,400","$9,719,900","$10,183,200",26.40%,41.20%
4,"$8,346,400","$8,763,800","$9,181,300",26.50%,41.90%
5,"$7,558,200","$7,935,900","$8,313,800",26.70%,42.60%
6,"$6,864,700","$7,208,000","$7,551,400",26.80%,43.40%
7,"$6,266,700","$6,580,200","$6,893,300",27.00%,44.10%
8,"$5,741,000","$6,028,100","$6,315,200",27.20%,44.80%
9,"$5,277,100","$5,541,300","$5,805,000",27.40%,45.50%
10,"$5,013,400","$5,263,900","$5,514,300",27.50%,46.20%
11,"$4,762,600","$5,000,900","$5,239,100",32.70%,46.90%
12,"$4,524,600","$4,751,000","$4,977,300",37.80%,47.60%
13,"$4,298,300","$4,513,400","$4,728,200",42.90%,48.30%
14,"$4,083,600","$4,287,800","$4,492,200",48.10%,49.10%
15,"$3,879,200","$4,073,100","$4,267,000",53.30%,49.80%
16,"$3,685,300","$3,869,600","$4,054,100",53.40%,50.50%
17,"$3,500,900","$3,676,000","$3,851,000",53.60%,51.20%
18,"$3,326,100","$3,492,100","$3,658,600",53.80%,51.90%
19,"$3,176,300","$3,335,000","$3,494,200",54.00%,52.60%
20,"$3,049,000","$3,201,400","$3,353,700",54.20%,53.30%
21,"$2,927,100","$3,073,600","$3,220,000",59.30%,54.10%
22,"$2,810,200","$2,950,500","$3,091,100",64.50%,54.80%
23,"$2,697,900","$2,832,900","$2,967,400",69.70%,55.50%
24,"$2,590,100","$2,719,500","$2,849,000",74.90%,56.20%
25,"$2,486,100","$2,610,300","$2,735,000",80.10%,56.90%
26,"$2,403,800","$2,523,800","$2,644,100",80.30%,57.60%
27,"$2,334,400","$2,451,200","$2,568,200",80.40%,58.30%
28,"$2,319,900","$2,436,300","$2,552,200",80.50%,59.00%
29,"$2,303,300","$2,418,400","$2,533,600",80.50%,60.00%
30,"$2,286,500","$2,400,800","$2,515,400",80.50%,60.00%
