YOS,Year 1,Year 2,Year 3,Year 4,Year 5
0 YOS,"$1,119,563",,,,
1 YOS,"$1,801,769","$1,891,857",,,
2 YOS,"$2,019,706","$2,120,693","$2,221,677",,
3 YOS,"$2,092,354","$2,196,970","$2,301,587","$2,406,205",
4 YOS,"$2,165,000","$2,273,252","$2,381,501","$2,489,752","$2,598,003"
5 YOS,"$2,346,614","$2,463,946","$2,581,276","$2,698,607","$2,815,938"
6 YOS,"$2,528,233","$2,654,644","$2,781,053","$2,907,465","$3,033,877"
7 YOS,"$2,709,849","$2,845,342","$2,980,834","$3,116,326","$3,251,820"
8 YOS,"$2,891,467","$3,036,040","$3,180,615","$3,325,190","$3,469,764"
9 YOS,"$2,905,861","$3,051,153","$3,196,447","$3,341,740","$3,487,033"
10 YOS,"$3,196,448","$3,356,271","$3,516,095","$3,675,917","$3,835,739"
