Rk,Player,Tm,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Guaranteed,-9999
1,Stephen Curry,GSW,$62587158,,,,,,$62587158,curryst01
2,Nikola Jokić,DEN,$59033114,$62841702,,,,,$59033114,jokicni01
3,Jayson Tatum,BOS,$58456566,$62786682,$67116798,$71446914,,,$188360046,tatumja01
4,Anthony Davis,WAS,$58456566,$62786682,,,,,$58456566,davisan02
5,Giannis Antetokounmpo,MIA,$58456566,$62786682,,,,,$58456566,antetgi01
6,Joel Embiid,PHI,$58100000,$62748000,$67396000,,,,$120848000,embiijo01
7,Jaylen Brown,PHI,$57078728,$61015192,$64951656,,,,$183045576,brownja02
8,Devin Booker,PHO,$57078728,$61015192,$64065952,$69191228,,,$182159872,bookede01
9,Karl-Anthony Towns,NYK,$57078728,$61015192,,,,,$57078728,townska01
10,Jimmy Butler,GSW,$56832773,,,,,,$56832773,butleji01
11,Paul George,BOS,$54126380,$56586670,,,,,$54126380,georgpa01
12,Kawhi Leonard,LAC,$50300000,,,,,,$50300000,leonaka01
13,Donovan Mitchell,CLE,$50105628,$60911900,$65784852,$70657804,$75530756,,$247460184,mitchdo01
14,Cade Cunningham,DET,$50105628,$53817156,$57528684,$61240212,,,$222691680,cunnica01
15,Evan Mobley,CLE,$50105628,$53817156,$57528684,$61240212,,,$222691680,mobleev01
16,Jamal Murray,DEN,$50105628,$53817156,$57528684,,,,$161451468,murraja01
17,De'Aaron Fox,SAS,$49800000,$53784000,$57768000,$61752000,,,$223104000,foxde01
18,Bam Adebayo,MIA,$49800000,$53784000,$57768000,,,,$103584000,adebaba01
19,Luka Dončić,LAL,$49800000,$53784000,$57768000,,,,$103584000,doncilu01
20,Trae Young,WAS,$49488300,$50478066,$54437130,$58396194,,,$154403496,youngtr01
21,Jaren Jackson Jr.,UTA,$49000000,$50500000,$52000000,$53500000,,,$151500000,jacksja02
22,Zach LaVine,SAC,$48967380,,,,,,$48967380,lavinza01
23,Anthony Edwards,MIN,$48924624,$52298736,$55672848,,,,$156896208,edwaran01
24,Tyrese Haliburton,IND,$48924624,$52298736,$55672848,,,,$156896208,halibty01
25,Pascal Siakam,IND,$48924624,$52298736,,,,,$101223360,siakapa01
26,Lauri Markkanen,UTA,$46113154,$49824681,$53536209,,,,$149474044,markkla01
27,Domantas Sabonis,SAC,$45472000,$48608000,,,,,$94080000,sabondo01
28,Kevin Durant,HOU,$43902439,$46097561,,,,,$43902439,duranke01
29,OG Anunoby,NYK,$42500000,$45431034,$48362068,,,,$87931034,anunoog01
30,James Harden,CLE,$42317307,,,,,,,hardeja01
31,Ja Morant,POR,$42166510,$44886930,,,,,$87053440,moranja01
32,Zion Williamson,NOP,$42166510,$44886930,,,,,$87053440,willizi01
33,Darius Garland,LAC,$42166510,$44886930,,,,,$87053440,garlada01
34,Scottie Barnes,TOR,$41754690,$44847630,$47940570,$51033510,,,$185576400,barnesc01
35,Franz Wagner,ORL,$41754690,$44847630,$47940570,$51033510,,,$185576400,wagnefr01
36,Jalen Williams,OKC,$41500000,$44820000,$48140000,$51460000,$54780000,,$240700000,willija06
37,Chet Holmgren,OKC,$41500000,$44820000,$48140000,$51460000,$54780000,,$240700000,holmgch01
38,Paolo Banchero,ORL,$41500000,$44820000,$48140000,$51460000,$54780000,,$185920000,banchpa01
39,Austin Reaves,LAL,$41240250,$44539470,$47838690,$51137910,,,$133618410,reaveau01
40,Shai Gilgeous-Alexander,OKC,$40806150,$61005000,$65885400,$70765800,$75646200,,$238462350,gilgesh01
41,Michael Porter Jr.,BRK,$40806150,,,,,,$12000000,portemi01
42,Tyrese Maxey,PHI,$40770520,$43582280,$46394040,,,,$130746840,maxeyty01
43,LaMelo Ball,MIN,$40770520,$43582280,$46394040,,,,$130746840,ballla01
44,Brandon Ingram,TOR,$40000000,$41904762,,,,,$40000000,ingrabr01
45,Kyrie Irving,DAL,$39491282,$42416562,,,,,$39491282,irvinky01
46,Desmond Bane,ORL,$39446090,$42166510,$44886930,,,,$126499530,banede01
47,Jalen Brunson,NYK,$37739521,$40535041,$43330561,,,,$78274562,brunsja01
48,Rudy Gobert,MIN,$36500000,$38000000,,,,,$36500000,goberru01
49,Jalen Green,PHO,$36251166,$36000000,,,,,$36251166,greenja05
50,Alperen Şengün,HOU,$35642202,$37339450,$39036697,$39036697,,,$112018349,sengual01
51,Jrue Holiday,POR,$34800000,$37200000,,,,,$34800000,holidjr01
52,Jerami Grant,MEM,$34206898,$36413790,,,,,$34206898,grantje01
53,Jordan Poole,NOP,$34044642,,,,,,$34044642,poolejo01
54,Aaron Gordon,DEN,$33658037,$36350680,$39043323,,,,$70008717,gordoaa01
55,Mikal Bridges,NYK,$33482145,$36160714,$38839285,$41517856,,,$108482144,bridgmi01
56,Julius Randle,BRK,$33333334,$35802468,,,,,$33333334,randlju01
57,Tyler Herro,MIL,$33000000,,,,,,$33000000,herroty01
58,Dejounte Murray,NOP,$32785071,$30751504,,,,,$32785071,murrade01
59,Immanuel Quickley,TOR,$32500000,$32500000,$32500000,,,,$97500000,quickim01
60,Jalen Suggs,ORL,$32400000,$29600000,$26800000,$26700000,,,$88800000,suggsja01
61,Derrick White,BOS,$30348000,$32596000,$34844000,,,,$62944000,whitede01
62,Walker Kessler,LAL,$30232558,$31744186,$33255814,$34767442,,,$95232558,kesslwa01
63,Andrew Wiggins,MIA,$30169644,$16346154,$17653846,,,,$46515798,wiggian01
64,Jalen Johnson,ATL,$30000000,$30000000,$30000000,$30000000,,,$120000000,johnsja05
65,RJ Barrett,TOR,$29616071,,,,,,$29616071,barrerj01
66,Jarrett Allen,CLE,$28000000,$30240000,$32480000,,,,$90720000,allenja01
67,Draymond Green,GSW,$27678571,,,,,,$27678571,greendr01
68,Trey Murphy III,NOP,$27000000,$29000000,$31000000,,,,$87000000,murphtr02
69,Devin Vassell,SAS,$27000000,$24652174,$27000000,,,,$78652174,vassede01
70,Myles Turner,MIL,$26584164,$27850077,$29115990,,,,$54434241,turnemy01
71,Jaden McDaniels,MIN,$26200001,$28006898,$29813790,,,,$84020689,mcdanja02
72,Dyson Daniels,ATL,$25000000,$25000000,$25000000,$25000000,,,$100000000,daniedy01
73,Josh Giddey,CHI,$25000000,$25000000,$25000000,,,,$75000000,giddejo01
74,Fred VanVleet,HOU,$25000000,,,,,,$25000000,vanvlfr01
75,De'Andre Hunter,SAC,$24910714,,,,,,$24910714,huntede01
76,Jonathan Kuminga,ATL,$24300000,,,,,,,kuminjo01
77,Keegan Murray,SAC,$24137936,$26068965,$27999999,$29931033,$31862067,,$140000000,murrake02
78,Jabari Smith Jr.,HOU,$23643411,$21751940,$23643411,$25534883,$27426355,,$122000000,smithja05
79,Naz Reid,CHO,$23275862,$25000000,$26724138,$28448276,,,$75000000,reidna01
80,Isaiah Hartenstein,OKC,$23148148,$25000000,$26851852,,,,$48148148,harteis01
81,Nic Claxton,CHI,$23147727,$20943184,,,,,$44090911,claxtni01
82,Cameron Johnson,DEN,$23062500,,,,,,$23062500,johnsca02
83,Coby White,CHO,$22839506,$24666667,$26493827,,,,$74000000,whiteco01
84,Miles Bridges,PHO,$22826087,,,,,,$22826087,bridgmi02
85,Damian Lillard,MIL,$35915403,$36620603,$22516603,$22516603,,,$90066412,lillada01
86,Christian Braun,DEN,$21551726,$23275863,$25000000,$26724137,$28448274,,$125000000,braunch01
87,Norman Powell,CHI,$21500000,$22575000,,,,,$21500000,powelno01
