Rk,Team,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32
1,Cleveland Cavaliers,$222920753,$186758484,$194253081,$158351052,$75530756,
2,Atlanta Hawks,$221278253,$143103584,$112934904,$74646411,,
3,Golden State Warriors,$219763627,$60754861,$14812268,$8899128,,
4,Orlando Magic,$218125071,$192930667,$197412400,$129193510,$54780000,
5,New York Knicks,$217948756,$226434292,$144555486,$50928570,,
6,Phoenix Suns,$216225506,$198703527,$158117834,$133807565,,
7,Minnesota Timberwolves,$215871829,$198046150,$167653451,$26862981,$25489652,
8,Denver Nuggets,$215333328,$195049206,$121572007,$26724137,$28448274,
9,Oklahoma City Thunder,$214798992,$237689566,$230873865,$190425799,$185206200,
10,Philadelphia 76ers,$206643098,$208266056,$208044183,$16858871,,
11,Houston Rockets,$205487343,$164971975,$81674471,$84913870,$45974631,
12,Miami Heat,$204486535,$177052923,$93212209,$16200000,,
13,Indiana Pacers,$203715395,$208571172,$88444288,,,
14,Toronto Raptors,$202743041,$166229339,$123271894,$85221376,,
15,New Orleans Pelicans,$202241014,$154569359,$74875969,$24195628,,
16,Boston Celtics,$201437932,$219312101,$161745847,$101027113,$15500000,
17,Los Angeles Lakers,$201332759,$201135669,$170858141,$121980116,,
18,San Antonio Spurs,$198315672,$201629313,$190043004,$124933839,$53940000,$57420000
19,Dallas Mavericks,$197866094,$187233338,$89368560,$56715938,,
20,Los Angeles Clippers,$196862414,$100270202,$29404730,$19420990,,
21,Portland Trail Blazers,$194511148,$181644147,$67372684,$47330355,,
22,Milwaukee Bucks,$191358866,$116758556,$107445149,$71538318,,
23,Sacramento Kings,$189346486,$124432298,$48740563,$46990837,$31862067,
24,Washington Wizards,$189013104,$186857371,$94455967,$78853448,,
25,Utah Jazz,$179365019,$170945467,$132691831,$71818335,,
26,Charlotte Hornets,$174870647,$149029942,$101882633,$44166902,,
27,Memphis Grizzlies,$167642677,$121980585,$44196666,$23042053,,
28,Chicago Bulls,$161545080,$141977480,$68444704,$23239809,,
29,Brooklyn Nets,$160105139,$119334047,$46411932,$18153206,,
30,Detroit Pistons,$153163826,$125013908,$91860409,$68811709,,
