season,season_id,award,tier,player_name,bbref_id,position
2020-21,2020-2021,All-NBA,1st,Giannis Antetokounmpo,antetgi01,F
2020-21,2020-2021,All-NBA,1st,Kawhi Leonard,leonaka01,F
2020-21,2020-2021,All-NBA,1st,Luka Dončić,doncilu01,G
2020-21,2020-2021,All-NBA,1st,Nikola Jokić,jokicni01,C
2020-21,2020-2021,All-NBA,1st,Stephen Curry,curryst01,G
2020-21,2020-2021,All-NBA,2nd,Chris Paul,paulch01,G
2020-21,2020-2021,All-NBA,2nd,Damian Lillard,lillada01,G
2020-21,2020-2021,All-NBA,2nd,Joel Embiid,embiijo01,C
2020-21,2020-2021,All-NBA,2nd,Julius Randle,randlju01,F
2020-21,2020-2021,All-NBA,2nd,LeBron James,jamesle01,F
2020-21,2020-2021,All-NBA,3rd,Bradley Beal,bealbr01,G
2020-21,2020-2021,All-NBA,3rd,Jimmy Butler,butleji01,F
2020-21,2020-2021,All-NBA,3rd,Kyrie Irving,irvinky01,G
2020-21,2020-2021,All-NBA,3rd,Paul George,georgpa01,F
2020-21,2020-2021,All-NBA,3rd,Rudy Gobert,goberru01,C
2020-21,2020-2021,DPOY,Winner,Rudy Gobert,goberru01,
2020-21,2020-2021,MVP,Winner,Nikola Jokić,jokicni01,
2021-22,2021-2022,All-NBA,1st,Devin Booker,bookede01,G
2021-22,2021-2022,All-NBA,1st,Giannis Antetokounmpo,antetgi01,F
2021-22,2021-2022,All-NBA,1st,Jayson Tatum,tatumja01,F
2021-22,2021-2022,All-NBA,1st,Luka Dončić,doncilu01,G
2021-22,2021-2022,All-NBA,1st,Nikola Jokić,jokicni01,C
2021-22,2021-2022,All-NBA,2nd,DeMar DeRozan,derozde01,F
2021-22,2021-2022,All-NBA,2nd,Ja Morant,moranja01,G
2021-22,2021-2022,All-NBA,2nd,Joel Embiid,embiijo01,C
2021-22,2021-2022,All-NBA,2nd,Kevin Durant,duranke01,F
2021-22,2021-2022,All-NBA,2nd,Stephen Curry,curryst01,G
2021-22,2021-2022,All-NBA,3rd,Chris Paul,paulch01,G
2021-22,2021-2022,All-NBA,3rd,Karl-Anthony Towns,townska01,C
2021-22,2021-2022,All-NBA,3rd,LeBron James,jamesle01,F
2021-22,2021-2022,All-NBA,3rd,Pascal Siakam,siakapa01,F
2021-22,2021-2022,All-NBA,3rd,Trae Young,youngtr01,G
2021-22,2021-2022,DPOY,Winner,Marcus Smart,smartma01,
2021-22,2021-2022,MVP,Winner,Nikola Jokić,jokicni01,
2022-23,2022-2023,All-NBA,1st,Giannis Antetokounmpo,antetgi01,F
2022-23,2022-2023,All-NBA,1st,Jayson Tatum,tatumja01,F
2022-23,2022-2023,All-NBA,1st,Joel Embiid,embiijo01,C
2022-23,2022-2023,All-NBA,1st,Luka Dončić,doncilu01,G
2022-23,2022-2023,All-NBA,1st,Shai Gilgeous-Alexander,gilgesh01,G
2022-23,2022-2023,All-NBA,2nd,Donovan Mitchell,mitchdo01,G
2022-23,2022-2023,All-NBA,2nd,Jaylen Brown,brownja02,F
2022-23,2022-2023,All-NBA,2nd,Jimmy Butler,butleji01,F
2022-23,2022-2023,All-NBA,2nd,Nikola Jokić,jokicni01,C
2022-23,2022-2023,All-NBA,2nd,Stephen Curry,curryst01,G
2022-23,2022-2023,All-NBA,3rd,Damian Lillard,lillada01,G
2022-23,2022-2023,All-NBA,3rd,De'Aaron Fox,foxde01,G
2022-23,2022-2023,All-NBA,3rd,Domantas Sabonis,sabondo01,C
2022-23,2022-2023,All-NBA,3rd,Julius Randle,randlju01,F
2022-23,2022-2023,All-NBA,3rd,LeBron James,jamesle01,F
2022-23,2022-2023,DPOY,Winner,Jaren Jackson Jr.,jacksja02,
2022-23,2022-2023,MVP,Winner,Joel Embiid,embiijo01,
2023-24,2023-2024,All-NBA,1st,Giannis Antetokounmpo,antetgi01,F
2023-24,2023-2024,All-NBA,1st,Jayson Tatum,tatumja01,F
2023-24,2023-2024,All-NBA,1st,Luka Dončić,doncilu01,G
2023-24,2023-2024,All-NBA,1st,Nikola Jokić,jokicni01,C
2023-24,2023-2024,All-NBA,1st,Shai Gilgeous-Alexander,gilgesh01,G
2023-24,2023-2024,All-NBA,2nd,Anthony Davis,davisan02,C
2023-24,2023-2024,All-NBA,2nd,Anthony Edwards,edwaran01,G
2023-24,2023-2024,All-NBA,2nd,Jalen Brunson,brunsja01,G
2023-24,2023-2024,All-NBA,2nd,Kawhi Leonard,leonaka01,F
2023-24,2023-2024,All-NBA,2nd,Kevin Durant,duranke01,F
2023-24,2023-2024,All-NBA,3rd,Devin Booker,bookede01,G
2023-24,2023-2024,All-NBA,3rd,Domantas Sabonis,sabondo01,F
2023-24,2023-2024,All-NBA,3rd,LeBron James,jamesle01,F
2023-24,2023-2024,All-NBA,3rd,Stephen Curry,curryst01,G
2023-24,2023-2024,All-NBA,3rd,Tyrese Haliburton,halibty01,G
2023-24,2023-2024,DPOY,Winner,Rudy Gobert,goberru01,
2023-24,2023-2024,MVP,Winner,Nikola Jokić,jokicni01,
2024-25,2024-2025,All-NBA,1st,Donovan Mitchell,mitchdo01,G
2024-25,2024-2025,All-NBA,1st,Giannis Antetokounmpo,antetgi01,F
2024-25,2024-2025,All-NBA,1st,Jayson Tatum,tatumja01,F
2024-25,2024-2025,All-NBA,1st,Nikola Jokić,jokicni01,C
2024-25,2024-2025,All-NBA,1st,Shai Gilgeous-Alexander,gilgesh01,G
2024-25,2024-2025,All-NBA,2nd,Anthony Edwards,edwaran01,G
2024-25,2024-2025,All-NBA,2nd,Evan Mobley,mobleev01,C
2024-25,2024-2025,All-NBA,2nd,Jalen Brunson,brunsja01,G
2024-25,2024-2025,All-NBA,2nd,LeBron James,jamesle01,F
2024-25,2024-2025,All-NBA,2nd,Stephen Curry,curryst01,G
2024-25,2024-2025,All-NBA,3rd,Cade Cunningham,cunnica01,G
2024-25,2024-2025,All-NBA,3rd,Jalen Williams,willija06,F
2024-25,2024-2025,All-NBA,3rd,James Harden,hardeja01,G
2024-25,2024-2025,All-NBA,3rd,Karl-Anthony Towns,townska01,C
