team,bbref_id,player_name,age,guaranteed_remaining
ATL,johnsja05,Jalen Johnson,24,120000000
ATL,daniedy01,Dyson Daniels,23,100000000
ATL,mccolcj01,CJ McCollum,35,21000000
ATL,dortlu01,Luguentz Dort,27,18222222
ATL,okongon01,Onyeka Okongwu,25,33000000
ATL,alexani01,Nickeil Alexander-Walker,28,29565510
ATL,landajo01,Jock Landale,30,14100000
ATL,kispeco01,Corey Kispert,27,27025000
ATL,hieldbu01,Buddy Hield,33,9658536
ATL,wiggiaa01,Aaron Wiggins,27,17570097
ATL,flemiki01,Kingston Flemings,19,15064800
ATL,ejiofzu01,Zuby Ejiofor,22,7079520
ATL,newelas01,Asa Newell,20,3399480
ATL,gueyemo02,Mouhamed Gueye,23,2406205
ATL,nembhry01,Ryan Nembhard,23,2150917
ATL,veesahe01,Henri Veesaar,22,3652133
ATL,wilsoja03,Jalen Wilson,25,
ATL,cartede02,Devin Carter,24,5158080
BOS,tatumja01,Jayson Tatum,28,188360046
BOS,georgpa01,Paul George,36,54126380
BOS,whitede01,Derrick White,32,62944000
BOS,robinmi01,Mitchell Robinson,28,47388600
BOS,hausesa01,Sam Hauser,28,34955356
BOS,pritcpa01,Payton Pritchard,28,16071428
BOS,harpero02,Ron Harper Jr.,26,6459042
BOS,cenacch01,Chris Cenac Jr.,19,6125760
BOS,gonzahu01,Hugo González,20,2923560
BOS,garzalu01,Luka Garza,27,2801346
BOS,scheiba01,Baylor Scheierman,25,2744040
BOS,quetane01,Neemias Queta,27,58667944
BOS,conlemi01,Mike Conley,38,2449421
BOS,cartede02,Devin Carter,24,
BOS,walshjo01,Jordan Walsh,22,17406205
BOS,devritu01,Tucker DeVries,23,
BOS,uzanmi01,Milos Uzan,23,
BOS,mitchdi01,Dillon Mitchell,22,
BOS,shulgma01,Max Shulga,24,
BOS,william01,Amari Williams,24,
BRK,portemi01,Michael Porter Jr.,28,12000000
BRK,randlju01,Julius Randle,31,33333334
BRK,mannte01,Terance Mann,29,31500000
BRK,sharpda01,Day'Ron Sharpe,24,10000000
BRK,wagnemo01,Moritz Wagner,29,9268293
BRK,brownmi02,Mikel Brown Jr.,20,18013440
BRK,elliske01,Keon Ellis,26,8780488
BRK,demineg01,Egor Dëmin,20,7233720
BRK,clownno01,Noah Clowney,22,5414034
BRK,minotjo01,Josh Minott,23,4500000
BRK,traorno01,Nolan Traoré,20,4002000
BRK,poweldr01,Drake Powell,21,3540600
BRK,sarafbe01,Ben Saraf,20,3028560
BRK,jeffejo01,Joshua Jefferson,22,6088080
BRK,wolfda01,Danny Wolf,22,2941440
BRK,nelsogr02,Grant Nelson,24,
BRK,bilodty01,Tyler Bilodeau,22,
CHO,reidna01,Naz Reid,27,75000000
CHO,whiteco01,Coby White,26,74000000
CHO,allengr01,Grayson Allen,30,18125000
CHO,millebr02,Brandon Miller,23,15104626
CHO,schrode01,Dennis Schröder,33,14809200
CHO,willigr01,Grant Williams,27,14265750
CHO,finnedo01,Dorian Finney-Smith,33,26670000
CHO,onealro01,Royce O'Neale,33,22500000
CHO,knuepko01,Kon Knueppel,21,10516560
CHO,salauti01,Tidjane Salaün,21,8237880
CHO,steinha02,Hannes Steinbach,20,10715760
CHO,anderch02,Christian Anderson Jr.,20,8727480
CHO,connapa01,Pat Connaughton,33,3815861
CHO,mcneeli01,Liam McNeeley,20,2902080
CHO,diabamo01,Moussa Diabaté,24,
CHO,jamessi01,Sion James,23,2411090
CHO,kalkbry01,Ryan Kalkbrenner,24,2411090
CHO,bosweky01,Kylan Boswell,21,
CHO,ajayimi01,Michael Ajayi,23,
CHI,giddejo01,Josh Giddey,23,75000000
CHI,claxtni01,Nic Claxton,27,44090911
CHI,powelno01,Norman Powell,33,21500000
CHI,willipa01,Patrick Williams,25,36000000
CHI,okorois01,Isaac Okoro,25,11814814
CHI,wilsoca01,Caleb Wilson,20,21901680
CHI,smithja04,Jalen Smith,26,9428571
CHI,colliza01,Zach Collins,28,17000000
CHI,jonestr01,Tre Jones,26,8000000
CHI,dilliro01,Rob Dillingham,21,6889320
CHI,buzelma01,Matas Buzelis,21,5715360
CHI,essenno01,Noa Essengue,19,5701200
CHI,swainda01,Dailyn Swain,21,10179240
CHI,millele01,Leonard Miller,22,2406205
CHI,awakato01,Tobe Awaka,22,
CHI,selleja01,Jaylin Sellers,23,
CLE,mitchdo01,Donovan Mitchell,30,247460184
