id,createdAt,details,from,isActive,positionNumber,round,teamId,to,updatedAt,year,_source_team_ids
7YqpOuc5rimTKw,2025-01-25T16:12:49.443Z,"NOP will receive the more favorable of its 2027 1st round pick and MIL's 2027 1st round pick and ATL will receive the less favorable of the two protected for selections 1-4; if this pick falls within its protected range and is therefore not conveyable, then NOP' commitment to ATL will be lifted and NOP will instead receive both picks (via NOP) [DEN-MIL-NOP-OKC, 11/23/2020; ATL-NOP, 7/6/2024]",NOP or MIL,True,,1,1,NOP  holds rights to swap,2026-08-31T08:18:45.034Z,2027,1
ilIF7bn5Jw,2020-11-21T16:46:04.443Z,,,True,,2,1,,2026-08-31T08:18:45.034Z,2027,1
07y0k9KKs1_x3g,2022-07-01T06:09:24.034Z,No protections,,True,,1,1,SAS,2026-08-31T08:18:45.034Z,2027,1
Z0co_6gnZTDzXz,2025-04-10T02:48:58.036Z,"UTA will receive the most favorable of its 2028 1st round pick, CLE's 2028 1st round pick and the LAL' 2028 1st round pick; the LAL will receive the less favorable of (1) its pick and (2) the more favorable of the UTA pick and the CLE pick; ATL will receive the more favorable of (1) its 2028 1st round pick and (2) the less favorable of the UTA pick and the CLE pick and CLE will receive the least favorable of the three (via UTA's right to swap for CLE; via UTA's right to swap UTA or CLE for LAL; via ATL's right to swap for UTA or CLE) [CLE-UTA, 9/3/2022; ATL-CLE, 2/6/2025; LAL-UTA, pending]",UTA or CLE,True,,1,1,UTA  holds rights to swap,2026-08-31T08:18:45.034Z,2028,1
6IozknPE8ZcOFQ,2021-06-21T10:08:45.886Z,,,True,,1,1,,2026-08-31T08:18:45.034Z,2028,1
2VA3nDHWMyoh8q,2025-01-25T16:12:49.443Z,No protections,,True,,2,1,BKN,2026-08-31T08:18:45.034Z,2028,1
Q3T2DYCDrTw8Xh,2026-07-08T06:21:47.731Z,No protections,,True,,2,1,CHA or OKC,2026-08-31T08:18:45.034Z,2029,1
bVgKHIR1XM8xUN,2022-06-24T14:50:00.459Z,,,True,,1,1,,2026-08-31T08:18:45.034Z,2029,1
39VTt52PgCm6dM,2025-04-10T02:48:58.036Z,No protections,CLE,True,,2,1,,2026-08-31T08:18:45.034Z,2029,1
szUPFtNDBfhAxg,2026-02-03T15:41:13.755Z,No protections,NYK,True,,2,1,,2026-08-31T08:18:45.034Z,2030,1
0HS4sDmmDM2EBW,2023-06-27T03:57:46.352Z,,,True,,1,1,,2026-08-31T08:18:45.034Z,2030,1
