id,offensiveType,position,singleYearLEBRON,tier,_source_team_ids
3887dba0-c114-4eff-9b8a-870f84c51a54,Off Screen Shooter,SF,-3.37,,1
2e8bff66-58a7-44ec-aff0-87fe1178871c,Primary Ball Handler,PG,-1.1,,1
851da45b-6a0d-400f-8dc8-a25474fd9796,Shot Creator,PF,0.18,,1
7734cf7c-f8e9-4473-bf71-de8561e35791,Primary Ball Handler,SG,-0.69,,1
4fdaafc2-3435-4865-9f19-07c5a982f6a8,,,0,,1
841b6870-7dbf-4af6-b7ba-3f59a478d5d0,Secondary Ball Handler,PG,0.61,,1
89f2529c-bcfa-4d74-9734-ba78655e61d8,Roll + Cut Big,C,1.63,,1
b6c51a5a-e652-4a54-9966-124510eb9309,Low Minute,PG,-0.37,,1
335d1348-5913-4865-9466-96ae4428d731,Stationary Shooter,PF,2.34,,1
0a22c762-a3e8-4466-9fcc-88771810a11a,,,0,,1
74db8509-6519-49ee-9494-4dbdefc67dd5,Roll + Cut Big,C,-1.73,,1
d53e3b00-8326-4e7c-9378-2c503c90783a,Athletic Finisher,SF,1.23,,1
fe4a156c-f292-4dc9-862f-1d1dbfb892dd,Primary Ball Handler,SG,2.02,,1
c148f5fa-c73f-4f34-afd4-11215f063c66,Movement Shooter,SG,0.28,,1
bf9a7fda-8e3e-459a-a3cc-9056c46083f1,Movement Shooter,SF,-2.38,,1
851e2af6-7e0f-4d9c-999f-f19a361cb81c,Off Screen Shooter,SG,-0.28,,1
f4939b43-6497-4a00-8010-cf56835519a0,Movement Shooter,PF,0.61,,2
c678552d-da6b-46c5-ae34-f5d332aa1a9d,Roll + Cut Big,C,0.23,,2
2da11b8f-a2c5-4bfd-9e91-3c41706f1c77,Primary Ball Handler,PG,2.48,,2
27b9fedb-9024-4881-a3c8-fac4bf707612,Shot Creator,PF,4.33,,2
e64003f4-028c-4937-9898-b5c92d0865e9,,,0,,2
5a2f6b49-1780-4e63-b476-e96bfa7f0f37,Roll + Cut Big,C,-0.39,,2
dbf8ca6b-ba5f-4074-bf31-c8a43e85441d,Stretch Big,C,-1.36,,2
dd5d31d9-8fba-482f-a7a9-3327224d32f5,,,0,,2
27356880-f5e3-4377-9ea0-f4cb13c4fe59,Shot Creator,PF,0.7,,2
fa044d54-f2d4-482c-9e79-fde6fe691214,Movement Shooter,SG,-0.89,,2
79f49889-d775-4c88-aa87-e18e3bb78a19,Low Minute,SF,-0.28,,2
5d20ce74-1cf6-4736-b4ac-2a2f8420c63d,Primary Ball Handler,PG,1.1,,2
646e7d15-6953-437b-94ad-825a7e60ec8f,Stationary Shooter,PF,-2.53,,2
e1c8aa25-6c13-4200-86f6-942652b6f8f2,Primary Ball Handler,SG,1.85,,2
250f45f0-bfb8-4360-87a3-7e933c445930,,,0,,3
d999aaf0-2e09-4a93-9986-e272fed18ed9,Movement Shooter,PF,-2.02,,3
f07c83b9-e2b1-4c78-a880-06a846abd217,,,0,,3
44a1dedb-c92e-49b1-a75d-03e84f3f3560,,,0,,3
ee947a8e-b8f8-4c9e-a6df-0393d6399eb7,Movement Shooter,SG,-1.55,,3
b9bd79f4-5112-4478-aec5-b44f037ba1eb,Roll + Cut Big,C,1.39,,3
256cff32-8353-4233-8134-f9d930b2f407,Movement Shooter,SF,-1.08,,3
7f522ce0-911a-448b-abf4-8bab9918b67d,Movement Shooter,SF,-0.01,,3
1c0a46ad-8db5-48ca-9ad5-c23f8f12c398,Shot Creator,PF,-0.72,,3
