team,season,bbref_id,player_name,years_experience,birth_date,position,height,weight,college
ATL,2025-26,alexani01,Nickeil Alexander-Walker,6,"September 2, 1998",SG,6-5,205,Virginia Tech
ATL,2025-26,bradlto01,Tony Bradley,7,"January 8, 1998",C,6-10,248,UNC
ATL,2025-26,daniedy01,Dyson Daniels,3,"March 17, 2003",SG,6-7,199,
ATL,2025-26,nfalyda01,N'Faly Dante,1,"October 19, 2001",C,6-11,230,Oregon
ATL,2025-26,dennira01,RayJ Dennis,1,"March 30, 2001",PG,6-1,180,"Boise State , Toledo , Baylor"
ATL,2025-26,gilbeke01,Keshon Gilbert,0,"June 30, 2003",SG,6-4,200,"UNLV , Iowa State"
ATL,2025-26,gueyemo02,Mouhamed Gueye,2,"November 9, 2002",PF,6-11,210,Washington State
ATL,2025-26,hieldbu01,Buddy Hield,9,"December 17, 1992",SG,6-4,220,Oklahoma
ATL,2025-26,houstca01,Caleb Houstan,3,"January 9, 2003",SF,6-8,205,Michigan
ATL,2025-26,johnsja05,Jalen Johnson,4,"December 18, 2001",SF,6-8,219,Duke
ATL,2025-26,kennalu01,Luke Kennard,8,"June 24, 1996",SG,6-5,206,Duke
ATL,2025-26,kispeco01,Corey Kispert,4,"March 3, 1999",SF,6-6,224,Gonzaga
ATL,2025-26,kolokch01,Christian Koloko,2,"June 20, 2000",C,6-11,225,Arizona
ATL,2025-26,krejcvi01,Vít Krejčí,4,"June 19, 2000",PG,6-8,195,
ATL,2025-26,kuminjo01,Jonathan Kuminga,4,"October 6, 2002",PF,6-7,225,
ATL,2025-26,landajo01,Jock Landale,4,"October 25, 1995",C,6-11,255,Saint Mary's
ATL,2025-26,mccolcj01,CJ McCollum,12,"September 19, 1991",PG,6-3,190,Lehigh
ATL,2025-26,newelas01,Asa Newell,0,"October 5, 2005",PF,6-10,220,Georgia
ATL,2025-26,okongon01,Onyeka Okongwu,5,"December 11, 2000",C,6-10,240,USC
ATL,2025-26,porzikr01,Kristaps Porziņģis,9,"August 2, 1995",C,7-2,240,
ATL,2025-26,risacza01,Zaccharie Risacher,1,"April 8, 2005",SF,6-8,200,
ATL,2025-26,toppija01,Jacob Toppin,2,"May 8, 2000",SF,6-9,200,"Rhode Island , Kentucky"
ATL,2025-26,vincega01,Gabe Vincent,6,"June 14, 1996",PG,6-2,200,UC Santa Barbara
ATL,2025-26,wallake01,Keaton Wallace,1,"February 26, 1999",PG,6-3,185,Texas-San Antonio
ATL,2025-26,youngtr01,Trae Young,7,"September 19, 1998",PG,6-2,164,Oklahoma
BOS,2025-26,bantoda01,Dalano Banton,4,"November 7, 1999",PG,6-8,203,Nebraska
BOS,2025-26,bassech01,Charles Bassey,4,"October 28, 2000",C,6-10,230,Western Kentucky
BOS,2025-26,bouchch01,Chris Boucher,8,"January 11, 1993",PF,6-8,200,"New Mexico Junior College , Northwest College , Oregon"
BOS,2025-26,brownja02,Jaylen Brown,9,"October 24, 1996",SF,6-6,223,California
BOS,2025-26,garzalu01,Luka Garza,4,"December 27, 1998",C,6-10,243,Iowa
BOS,2025-26,gonzahu01,Hugo González,0,"February 5, 2006",SF,6-6,200,
BOS,2025-26,harpero02,Ron Harper Jr.,3,"April 12, 2000",SF,6-5,233,Rutgers University
BOS,2025-26,hausesa01,Sam Hauser,4,"December 8, 1997",PF,6-7,217,"Marquette , Virginia"
BOS,2025-26,minotjo01,Josh Minott,3,"November 25, 2002",PF,6-8,205,Memphis
BOS,2025-26,pritcpa01,Payton Pritchard,5,"January 28, 1998",PG,6-1,195,Oregon
BOS,2025-26,quetane01,Neemias Queta,4,"July 13, 1999",C,7-0,248,Utah State University
BOS,2025-26,scheiba01,Baylor Scheierman,1,"September 26, 2000",SG,6-6,205,"South Dakota State , Creighton"
BOS,2025-26,shulgma01,Max Shulga,0,"June 25, 2002",SG,6-4,210,"Utah State University , VCU"
