id,apron,apronTwo,biAnnualEx,cap,nonTaxpayerMLE,roomMLE,seasonId,tax,taxpayerMLE,_source_team_ids
c75b72ef-dc70-488b-831b-0006bb23530f,75748000,,2016000,58679000,5150000,2652000,2013-2014,71748000,3183000,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
84197ff5-4c63-494c-8387-951009bdb12b,80829000,,2077000,63065000,5305000,2732000,2014-2015,76829000,3278000,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
89d8417b-9c37-4a87-a93a-6bfdb7da8378,88740000,,2139000,70000000,5464000,2814000,2015-2016,84740000,3376000,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
23de8f69-f2a9-48a3-93a6-1853b4702f61,117287000,,2203000,94143000,5628000,2898000,2016-2017,113287000,3477000,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
37603a18-a2dd-439f-ad75-f9976a0f246b,125266000,,3290000,99093000,8406000,4328000,2017-2018,119266000,5192000,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
f2034fbb-dd3c-4a88-a2b2-86acdfe11af9,129817000,,3382000,101869000,8641000,4449000,2018-2019,123733000,5337000,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
f4e1e352-0687-42fc-b80a-4cb320e7eea4,138928000,,3623000,109140000,9258000,4767000,2019-2020,132627000,5718000,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
751fc1aa-954c-4002-bd16-d4aa80658388,138928000,,3623000,109140000,9258000,4767000,2020-2021,132627000,5718000,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
d292fc99-a88c-453f-aa15-7237009c5cce,243445000,258205000,6380000,192166000,17526000,10911000,2029-2030,233482000,7064000,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
616509f5-59b2-4a4d-900e-63847e826602,255616000,271115000,6699000,201774000,18402000,11457000,2030-2031,245155000,7417000,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
73e59cc3-e9b7-463d-95bd-48f2c51c13cb,268398000,284672000,7034000,211863000,19322000,12030000,2031-2032,257414000,7788000,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
16d33a78-62d3-42b7-bba9-ca452ac79750,281817000,298904000,7386000,222456000,20288000,12631000,2032-2033,270284000,8177000,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
68d8c846-8303-4bd1-a08b-76a159635ea5,295908000,313849000,7755000,233579000,21302000,13263000,2033-2034,283798000,8586000,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
6459ea52-76fb-487a-bb7f-751e40fd0af5,310703000,329542000,8143000,245258000,22368000,13926000,2034-2035,297988000,9015000,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
38f1b3fd-4d83-40dd-b1a3-0a1880d5b57e,74307000,,1900000,58044000,5000000,2500000,2011-2012,70307000,3000000,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
ddb229e5-c269-4355-adc2-a9d962582899,74307000,,1957000,58044000,5000000,2575000,2012-2013,70307000,3090000,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
0d87185c-4df8-4fdc-b7da-2e9c0a5c5ce5,143002000,,3732000,112414000,9536000,4910000,2021-2022,136606000,5890000,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
985ae291-fc52-4fbe-a3fd-85b8843ba6dc,156983000,,4105000,123655000,10490000,5401000,2022-2023,150267000,6479000,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
4c9f6ffc-87cf-4397-a307-9c8877d08ab0,172346000,182794000,4516000,136021000,12405000,7723000,2023-2024,165294000,5000000,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
ffd5222e-7aea-4b02-aacb-0cab7eb50347,178132000,188931000,4668000,140588000,12822000,7983000,2024-2025,170814000,5168000,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
31fbbfd2-8eff-4a91-aba1-f3a3e530a7bc,195945000,207824000,5134000,154647000,14104000,8781000,2025-2026,187895000,5685000,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
9a948ebe-50a8-427b-a012-85357d4ec970,210690000,223690000,5511000,166000000,15139000,9425000,2026-2027,201690000,6102000,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
d2de73d7-976c-4cbd-92b7-7a5df168c33c,220812000,234200000,5787000,174300000,15896000,9897000,2027-2028,211775000,6407000,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
b80a72ce-700a-4849-ad0a-61858293c73e,231851000,245909000,6076000,183015000,16691000,10392000,2028-2029,222363000,6727000,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
