team,snapshot_date,deadline_date,player_name,kind,holder,season,value,note,raw_type
atlanta-hawks,2026-02-24,6/26/2026,Buddy Hield,guarantee,,2026-27,9658536,one day after 2026 NBA Draft,GUARANTEED 2026-27 Guaranteed — one day after 2026 NBA Draft
atlanta-hawks,2026-02-24,6/29/2026,Dyson Daniels,qualifying_offer,,2026-27,10389992,,RFA / QO 2026-27 Qualifying Offer
atlanta-hawks,2026-02-24,6/29/2026,Christian Koloko,qualifying_offer,,2026-27,,Two-Way,RFA / QO 2026-27 Qualifying Offer — Two-Way
atlanta-hawks,2026-02-24,6/29/2026,Keaton Wallace,qualifying_offer,,2026-27,,,RFA / QO 2026-27 Qualifying Offer
atlanta-hawks,2026-02-24,6/29/2026,Trae Young,option,player,2026-27,,,PLAYER 2026-27 Player Option
atlanta-hawks,2026-02-24,6/29/2026,Mouhamed Gueye,option,club,2026-27,,non-guaranteed,CLUB 2026-27 Club Option — non-guaranteed
atlanta-hawks,2026-02-24,10/31/2026,Zaccharie Risacher,option,club,2027-28,17434637,,CLUB 2027-28 Club Option
atlanta-hawks,2026-02-24,10/31/2026,Asa Newell,option,club,2027-28,3560880,,CLUB 2027-28 Club Option
atlanta-hawks,2026-02-24,1/10/2027,Mouhamed Gueye,guarantee,,2026-27,2406205,,GUARANTEED 2026-27 Guaranteed
atlanta-hawks,2026-02-24,6/25/2027,Buddy Hield,guarantee,,2027-28,10097560,,GUARANTEED 2027-28 Guaranteed
atlanta-hawks,2026-02-24,6/29/2027,RayJ Dennis,qualifying_offer,,2027-28,,Two-Way,RFA / QO 2027-28 Qualifying Offer — Two-Way
atlanta-hawks,2026-02-24,6/29/2027,Buddy Hield,option,player,2027-28,3136364,,PLAYER 2027-28 Player Option
atlanta-hawks,2026-02-24,7/1/2027,Zaccharie Risacher,extension_eligible,,2027-28,,,EXTENSION ELIGIBLE 2027-28 Extension Eligible
atlanta-hawks,2026-02-24,7/6/2027,Nickeil Alexander-Walker,extension_eligible,,2027-28,,,EXTENSION ELIGIBLE 2027-28 Extension Eligible
atlanta-hawks,2026-02-24,10/1/2027,Jalen Johnson,extension_eligible,,2027-28,,,EXTENSION ELIGIBLE 2027-28 Extension Eligible
atlanta-hawks,2026-02-24,10/1/2027,Corey Kispert,extension_eligible,,2027-28,,,EXTENSION ELIGIBLE 2027-28 Extension Eligible
atlanta-hawks,2026-02-24,10/31/2027,Asa Newell,option,club,2028-29,6042814,,CLUB 2028-29 Club Option
atlanta-hawks,2026-02-24,6/29/2028,Zaccharie Risacher,qualifying_offer,,2028-29,24408492,,RFA / QO 2028-29 Qualifying Offer
atlanta-hawks,2026-02-24,6/29/2028,Corey Kispert,option,club,2028-29,13025000,,CLUB 2028-29 Club Option
atlanta-hawks,2026-02-24,6/29/2028,Nickeil Alexander-Walker,option,player,2028-29,15919890,,PLAYER 2028-29 Player Option
atlanta-hawks,2026-02-24,7/1/2028,Asa Newell,extension_eligible,,2028-29,,,EXTENSION ELIGIBLE 2028-29 Extension Eligible
atlanta-hawks,2026-02-24,10/1/2028,Dyson Daniels,extension_eligible,,2028-29,,,EXTENSION ELIGIBLE 2028-29 Extension Eligible
atlanta-hawks,2026-02-24,6/29/2029,Asa Newell,qualifying_offer,,2029-30,9396576,,RFA / QO 2029-30 Qualifying Offer
boston-celtics,2026-01-16,6/29/2026,Jordan Walsh,option,club,2026-27,,non-guaranteed,CLUB 2026-27 Club Option — non-guaranteed
boston-celtics,2026-01-16,6/29/2026,Ron Harper Jr.,qualifying_offer,,2026-27,,,RFA / QO 2026-27 Qualifying Offer
boston-celtics,2026-01-16,6/29/2026,Neemias Queta,option,club,2026-27,1333972,partially guaranteed,CLUB 2026-27 Club Option — partially guaranteed
boston-celtics,2026-01-16,6/29/2026,Amari Williams,qualifying_offer,,2026-27,2191885,Two-Way,RFA / QO 2026-27 Qualifying Offer — Two-Way
boston-celtics,2026-01-16,6/29/2026,Max Shulga,qualifying_offer,,2026-27,2191885,Two-Way,RFA / QO 2026-27 Qualifying Offer — Two-Way
