team,snapshot_date,player_name,position,age,contract_type,cap_hit,base_salary,incentives_likely,incentives_unlikely,trade_bonus_proration,guaranteed
atlanta-hawks,2026-02-24,Jalen Johnson,SF,25,RK-EXT,30000000,30000000,,,,30000000
atlanta-hawks,2026-02-24,Dyson Daniels,PG,23,RK-EXT,25000000,25000000,,,,25000000
atlanta-hawks,2026-02-24,Jonathan Kuminga,PF,24,FA,24300000,24300000,,,,
atlanta-hawks,2026-02-24,Onyeka Okongwu,C,26,RK-EXT,16100000,16100000,,,,16100000
atlanta-hawks,2026-02-24,Nickeil Alexander-Walker,SG,28,S&T,14403710,14403710,,,,14403710
atlanta-hawks,2026-02-24,Corey Kispert,SF,27,RK-EXT,13975000,13975000,,,,13975000
atlanta-hawks,2026-02-24,Zaccharie Risacher,SF,21,RK-1ST,13826040,13826040,,,,13826040
atlanta-hawks,2026-02-24,Buddy Hield,SG,34,S&T,9658536,9658536,,,,3000000
atlanta-hawks,2026-02-24,Asa Newell,PF,21,RK-1ST,3399480,3399480,,,,3399480
atlanta-hawks,2026-02-24,Mouhamed Gueye,PF,24,RK-2ND,2406205,2406205,,,,
boston-celtics,2026-01-16,Jayson Tatum,PF,28,DVET-EXT,58456566,58456566,,,,58456566
boston-celtics,2026-01-16,Jaylen Brown,SF,30,DVET-EXT,57078728,57078728,,,,57078728
boston-celtics,2026-01-16,Derrick White,PG,32,VET-EXT,30348000,28458000,1890000,,,28458000
boston-celtics,2026-01-16,Sam Hauser,SF,29,VET-EXT,10848215,10848215,,,,10848215
boston-celtics,2026-01-16,Payton Pritchard,PG,29,RK-EXT,7767857,7767857,,,,7767857
boston-celtics,2026-01-16,Hugo Gonzalez,SF,20,RK-1ST,2923560,2923560,,,,2923560
boston-celtics,2026-01-16,Luka Garza,C,28,FA,2801346,2801346,,,,2801346
boston-celtics,2026-01-16,Baylor Scheierman,SG,26,RK-1ST,2744040,2744040,,,,2744040
boston-celtics,2026-01-16,Neemias Queta,C,27,FA,2667944,2667944,,,,
boston-celtics,2026-01-16,Josh Minott,SF,24,FA,2584539,2584539,,,,
boston-celtics,2026-01-16,Jordan Walsh,SF,22,RK-2ND,2406205,2406205,,,,
brooklyn-nets,2026-02-26,Michael Porter Jr.,SF,28,DRK-EXT,40806150,40806150,,,,40806150
brooklyn-nets,2026-02-26,Nicolas Claxton,C,27,FA,23147727,23147727,,715907,,23147727
brooklyn-nets,2026-02-26,Terance Mann,SG,30,VET-EXT,15500000,15500000,,,,15500000
brooklyn-nets,2026-02-26,Egor Demin,PG,20,RK-1ST,7233720,7233720,,,,7233720
brooklyn-nets,2026-02-26,Day'Ron Sharpe,C,25,FA,6250000,6250000,,,,
brooklyn-nets,2026-02-26,Ziaire Williams,SF,25,FA,6250000,6250000,,,,
brooklyn-nets,2026-02-26,Noah Clowney,PF,22,RK-1ST,5414034,5414034,,,,5414034
brooklyn-nets,2026-02-26,Nolan Traore,PG,20,RK-1ST,4002000,4002000,,,,4002000
brooklyn-nets,2026-02-26,Drake Powell,SF,21,RK-1ST,3540600,3540600,,,,3540600
brooklyn-nets,2026-02-26,Ben Saraf,PG,20,RK-1ST,3028560,3028560,,,,3028560
brooklyn-nets,2026-02-26,Danny Wolf,PF,22,RK-1ST,2941440,2941440,,,,2941440
brooklyn-nets,2026-02-26,Josh Minott,SF,24,FA,2584539,2584539,,,,
charlotte-hornets,2026-03-11,LaMelo Ball,PG,25,DRK-EXT,40770520,40770520,,,,40770520
charlotte-hornets,2026-03-11,Miles Bridges,SF,28,FA,22826087,22826087,,,,22826087
charlotte-hornets,2026-03-11,Brandon Miller,SF,24,RK-1ST,15104626,15104626,,,,15104626
charlotte-hornets,2026-03-11,Josh Green,SG,26,RK-EXT,14679012,14679012,,,,14679012
charlotte-hornets,2026-03-11,Grant Williams,PF,28,S&T,14265750,14265750,,,,14265750
charlotte-hornets,2026-03-11,Kon Knueppel,SF,21,RK-1ST,10516560,10516560,,,,10516560
charlotte-hornets,2026-03-11,Tidjane Salaun,PF,21,RK-1ST,8237880,8237880,,,,8237880
charlotte-hornets,2026-03-11,Tre Mann,PG,25,FA,8000000,8000000,,,,8000000
charlotte-hornets,2026-03-11,Pat Connaughton,SG,34,ROS,3815861,3815861,,,,
charlotte-hornets,2026-03-11,Liam McNeeley,SF,21,RK-1ST,2902080,2902080,,,,2902080
charlotte-hornets,2026-03-11,Moussa Diabate,PF,25,ROS,2461462,2461462,,,,
charlotte-hornets,2026-03-11,Sion James,SF,24,RK-2ND,2411090,2411090,,,,2411090
charlotte-hornets,2026-03-11,Ryan Kalkbrenner,C,25,RK-2ND,2411090,2411090,,,,2411090
chicago-bulls,2025-09-10,Josh Giddey,SG,24,FA,24107143,24107143,,,,24107143
chicago-bulls,2025-09-10,Patrick Williams,PF,25,FA,18000000,18000000,,,,18000000
chicago-bulls,2025-09-10,Isaac Okoro,SG,26,FA,11814814,11814814,,1772221,,11814814
chicago-bulls,2025-09-10,Jalen Smith,PF,26,FA,9428571,9428571,,,,9428571
chicago-bulls,2025-09-10,Tre Jones,PG,27,FA,8000000,8000000,,,,8000000
chicago-bulls,2025-09-10,Matas Buzelis,SF,22,RK-1ST,5715360,5715360,,,,
chicago-bulls,2025-09-10,Noa Essengue,PF,20,RK-1ST,5701200,5701200,,,,5701200
chicago-bulls,2025-09-10,Julian Phillips,SF,23,RK-2ND,2406205,2406205,,,,2406205
