team,snapshot_date,exception_type,reason,used_on,expires,original,available
atlanta-hawks,2026-02-24,Trade,Clint Capela trade with HOU,,7/6/2026,6700000,6700000
atlanta-hawks,2026-02-24,Trade,Kobe Bufkin,,9/16/2026,4503720,4503720
atlanta-hawks,2026-02-24,Trade,Trae Young trade with WAS,,1/8/2027,1357994,1357993
atlanta-hawks,2026-02-24,Trade,Vit Krejci trade with POR,,2/1/2027,2349578,2349578
atlanta-hawks,2026-02-24,Trade,Luke Kennard trade with LAL,,2/5/2027,11000000,11000000
boston-celtics,2026-01-16,Trade,Jaden Springer trade with UTA,,2/6/2026,4018363,4018363
boston-celtics,2026-01-16,Trade,Kristaps Porzingis trade with ATL,,7/7/2026,22531707,22531707
boston-celtics,2026-01-16,Trade,Jrue Holiday trade with POR,,7/7/2026,4721429,4721429
charlotte-hornets,2026-03-11,Trade,Mason Plumlee trade with OKC,,2/4/2027,2296274,2296274
charlotte-hornets,2026-03-11,Trade,Collin Sexton trade with CHI,,2/4/2027,8200962,8200962
charlotte-hornets,2026-03-11,Trade,Tyus Jones trade with DAL,,2/5/2027,7000000,7000000
chicago-bulls,2025-09-10,Trade,Zach LaVine trade with SAC,"Isaac Okoro, $11,000,000",2/3/2026,17186573,6186573
cleveland-cavaliers,2025-11-16,Trade,Georges Niang trade with ATL,,2/6/2026,8500000,8500000
cleveland-cavaliers,2025-11-16,Trade,Isaac Okoro trade with CHI,,7/6/2026,1000000,1000000
dallas-mavericks,2026-07-18,Non-Taxpayer Mid-Level,Tarik Biberovic,"$3,000,000",End-of-Season,15044000,12044000
dallas-mavericks,2026-07-18,Bi-Annual,,,End-of-Season,5477000,5477000
dallas-mavericks,2026-07-18,Trade,Anthony Davis trade with WAS,,2/5/2027,20830154,20830154
dallas-mavericks,2026-07-18,Trade,Dante Exum trade with WAS,,2/5/2027,2296274,0
dallas-mavericks,2026-07-18,Trade,Jaden Hardy trade with WAS,"AJ Johnson, $3,090,480",2/5/2027,6000000,2909520
denver-nuggets,2025-10-21,Trade,Michael Porter Jr. trade with BKN,"Jonas Valanciunas, $10,395,000",7/8/2026,17275985,6880985
denver-nuggets,2025-10-21,Trade,Dario Saric trade with SAC,,7/13/2026,5426400,5426400
detroit-pistons,2026-03-11,Non-Taxpayer Mid-Level,Caris LeVert,"$14,104,000",End-of-Season,14104000,0
detroit-pistons,2026-03-11,Bi-Annual,Daniss Jenkins,"$3,809,524",End-of-Season,5134000,1324476
detroit-pistons,2026-03-11,Trade,Dennis Schroder trade with SAC,"Dario Saric, $5,426,400",7/7/2026,14104000,8677600
golden-state-warriors,2026-07-11,Non-Taxpayer Mid-Level,,,End-of-Season,15044000,15044000
golden-state-warriors,2026-07-11,Bi-Annual,,,End-of-Season,5477000,5477000
golden-state-warriors,2026-07-11,Trade,Trayce Jackson-Davis trade with TOR,,2/5/2027,2221677,2221677
indiana-pacers,2026-07-12,Non-Taxpayer Mid-Level,Kelly Oubre Jr.,"$8,050,000",End-of-Season,15044000,6994000
indiana-pacers,2026-07-12,Bi-Annual,,,End-of-Season,5477000,5477000
los-angeles-clippers,2026-04-16,Trade,Kobe Brown trade with IND,,2/5/2027,2654880,2654880
los-angeles-clippers,2026-04-16,Trade,Chris Paul trade with TOR,,2/5/2027,2296274,2296274
los-angeles-clippers,2026-04-16,Trade,Ivica Zubac trade with IND,,2/5/2027,1314427,1314427
los-angeles-lakers,2026-07-12,Room,,,End-of-Season,9369000,9369000
los-angeles-lakers,2026-07-12,Trade,Gabe Vincent trade with ATL,,2/5/2027,500000,500000
memphis-grizzlies,2026-07-11,Non-Taxpayer Mid-Level,,,End-of-Season,15044000,15044000
memphis-grizzlies,2026-07-11,Bi-Annual,,,End-of-Season,5477000,5477000
memphis-grizzlies,2026-07-11,Trade,Jaren Jackson Jr trade with UTA,,2/3/2027,28872920,28872920
memphis-grizzlies,2026-07-11,Trade,Ja Morant trade with POR,,6/29/2027,2644608,2644608
miami-heat,2025-10-02,Trade,Thomas Bryant trade with IND,,12/15/2025,2087519,2087519
miami-heat,2025-10-02,Trade,Jimmy Butler trade with GSW,"Simone Fontecchio, $8,307,692",2/6/2026,16070814,7763122
miami-heat,2025-10-02,Trade,Josh Richardson trade with UTA,,2/6/2026,3051153,3051153
miami-heat,2025-10-02,Trade,Duncan Robinson trade with DET,,7/7/2026,16834692,16834692
miami-heat,2025-10-02,Trade,Haywood Highsmith trade with BKN,,8/15/2026,5616000,5616000
milwaukee-bucks,2026-07-12,Non-Taxpayer Mid-Level,,,End-of-Season,15044000,15044000
milwaukee-bucks,2026-07-12,Bi-Annual,,,End-of-Season,5477000,5477000
milwaukee-bucks,2026-07-12,Trade,Giannis Antetokounmpo trade with MIA,,7/6/2027,25456566,25456566
milwaukee-bucks,2026-07-12,Trade,Bobby Portis trade with MIA,,7/6/2027,85763,85763
minnesota-timberwolves,2023-11-14,Taxpayer Mid-Level,,,End-of-Season,6064000,6064000
minnesota-timberwolves,2023-11-14,Trade,Mike Conley trade with CHI,,2/3/2027,10774038,10774038
minnesota-timberwolves,2023-11-14,Trade,Rob Dillingham trade with CHI,,2/5/2027,6576120,6576120
new-orleans-pelicans,2026-02-25,Trade,Kelly Olynk trade with WAS,,7/6/2026,13445122,13445122
new-orleans-pelicans,2026-02-25,Trade,Jose Alvarado trade with NYK,,2/5/2027,4500000,4500000
new-york-knicks,2026-03-25,Trade,Dalen Terry trade with NOP,,2/5/2027,899118,899118
new-york-knicks,2026-03-25,Trade,Guerschon Yabusele trade with CHI,,2/5/2027,100882,100882
oklahoma-city-thunder,2025-07-30,Trade,Dillon Jones trade with WAS,,6/28/2026,501667,501667
philadelphia-76ers,2026-03-26,Trade,Jared McCain trade with OKC,,2/4/2027,4221360,4221360
philadelphia-76ers,2026-03-26,Trade,Eric Gordon trade with MEM,,2/5/2027,2296274,2296274
phoenix-suns,2026-07-12,Non-Taxpayer Mid-Level,,,End-of-Season,15044000,15044000
phoenix-suns,2026-07-12,Bi-Annual,,,End-of-Season,5477000,5477000
phoenix-suns,2026-07-12,Trade,Nigel Hayes-Davis trade with MIL,,2/5/2027,2048494,2048494
phoenix-suns,2026-07-12,Trade,Nick Richards trade with CHI,,2/5/2027,5000000,5000000
portland-trail-blazers,2025-07-22,Non-Taxpayer Mid-Level,,,End-of-Season,14104000,14104000
portland-trail-blazers,2025-07-22,Bi-Annual,,,End-of-Season,5134000,5134000
sacramento-kings,2026-03-11,Non-Taxpayer Mid-Level,Dylan Cardwell,"$871,000",End-of-Season,14104000,13233000
sacramento-kings,2026-03-11,Bi-Annual,,,End-of-Season,5134000,5134000
sacramento-kings,2026-03-11,Trade,Jonas Valanciunas trade with DEN,,7/13/2026,4968600,4968600
sacramento-kings,2026-03-11,Trade,Dario Saric trade with CHI,,2/1/2027,5426400,5426400
san-antonio-spurs,2025-10-17,Non-Taxpayer Mid-Level,Luke Kornet,"$11,000,000",End-of-Season,14104000,3104000
san-antonio-spurs,2025-10-17,Bi-Annual,,,End-of-Season,5134000,5134000
toronto-raptors,2025-11-25,Taxpayer Mid-Level,,,End-of-Season,5685000,5685000
utah-jazz,2026-02-11,Trade,Collin Sexton trade with CHA,,6/29/2026,25000,25000
utah-jazz,2026-02-11,Trade,John Collins trade with LAC,"Georges Niang, $8,200,000; Lonzo Ball, $10,000,000; John Konchar, $6,165,000",7/7/2026,26580000,2215000
utah-jazz,2026-02-11,Trade,Jock Landale trade with MEM,,2/5/2027,2296274,2296274
washington-wizards,2025-10-15,Trade,Jonas Valanciunas trade with SAC,,2/5/2026,9900000,9900000
washington-wizards,2025-10-15,Trade,Patrick Baldwin Jr trade with LAC,"Dillon Jones, $2,753,280",2/6/2026,2448840,0
washington-wizards,2025-10-15,Trade,Johnny Davis trade with MEM,"Mark Branham, $4,962,033",2/6/2026,5291160,329127
washington-wizards,2025-10-15,Trade,Kelly Olynyk trade with SAS,,7/9/2026,13445122,13445122
