id,capHit,description,player,playerId,qualifyingOfferAmount,rightType,_source_team_ids
2306e6ef-6573-4fb2-9168-b733c2c35748,34975962,Jonathan Kuminga,1630228,1630228,0,Bird,1
b2bddfaf-8305-4a49-a058-45f644801256,21850000,Gabe Vincent,1629216,1629216,0,Bird,1
ca126912-51f9-4ee6-bca4-69bec8f0fa51,2449421,Tony Bradley,1628396,1628396,0,Non-Bird,1
40c43f43-c341-4976-b072-ff30b1c89d16,2449421,Trent Forrest,1630235,1630235,0,Early Bird,1
a34f69ca-18f3-4b3f-a425-ce0c64dd47c6,2449421,Christian Koloko,1631132,1631132,0,Non-Bird,1
c0816f97-2dd6-4825-9c43-76acd28c559c,2449421,Wesley Matthews,202083,202083,0,Non-Bird,1
a840d65e-60f6-4a76-931f-f6ed8593f95f,2449421,Keaton Wallace,1630811,1630811,0,Non-Bird,1
a5ad7802-82b8-4eb4-babb-6224329bde5d,2185116,Dylan Windler,1629685,1629685,0,Two-Way,1
89d90567-b1c8-441f-8c93-19dd93e2a70f,0,"Round 2, Pick #57",,,0,,1
39d8b36f-76f9-4467-b696-f0fb30d6d860,2449421,Torrey Craig,1628470,1628470,0,Non-Bird,2
8ca81ce5-91dc-4882-bc7b-c58969114e40,2449421,Blake Griffin,201933,201933,0,Non-Bird,2
09eba21b-8e35-45b5-9487-2b57485dab2f,2185116,Mfiondu Kabengele,1629662,1629662,0,Two-Way,2
c035b623-ae90-4ad0-8012-76a4da051563,2185116,Max Shulga,1642917,1642917,0,Non-Bird,2
6d46912d-b911-4983-bdd8-50b5bc304292,2185116,John Tonje,1642910,1642910,0,Non-Bird,2
13f35e08-8d88-4359-8b4c-040fd116f116,0,"Round 2, Pick #40",,,0,,2
f8e7c13f-671d-4bbe-95d6-4dadd7ab28ea,5372878,Jalen Wilson,1630592,1630592,0,Bird,3
7bee3d72-3c7e-4e62-8fe5-36a90d026d6d,3173040,Nikola Milutinov,,,0,1st Round Pick,3
74135b19-3313-416b-bf3d-7da77ee8699e,2449421,E.J. Liddell,1630604,1630604,0,Non-Bird,3
4e65b97d-21c9-4ee3-97b3-7eabfc4e1013,2185116,Tyson Etienne,1630623,1630623,0,Early Bird,3
b9b81f7e-e0ac-4799-8b39-6d77145e0ece,0,"Round 2, Pick #33",,,0,,3
c9afa445-530b-4483-a9cc-50ff8181f4db,2449421,Xavier Tillman,1630214,1630214,0,Bird,4
c2c6bdbf-2cd5-4dcc-833a-cfadca34c44f,2185116,Antonio Reeves,1641810,1641810,0,Non-Bird,4
8f6a91cf-b03c-4a70-9b84-0db66e76bbc8,47019232,James Harden,201935,201935,0,Non-Bird,6
0fcf69d6-3ced-48d0-9ccb-692eec7012ac,2449421,Olivier Sarr,1630846,1630846,0,Non-Bird,6
6ded89df-21df-4aac-8330-9962dc7d034c,2449421,Ed Davis,202334,202334,0,Non-Bird,6
2316de4c-6165-46ab-9728-2660cc94e3bd,2449421,Damian Jones,1627745,1627745,0,Early Bird,6
4347e816-b138-4ae6-9258-4aae2670e801,2449421,Raul Neto,203526,203526,0,Non-Bird,6
d270e55b-4944-4e88-9e58-d150ed3109b1,2449421,Chuma Okeke,1629643,1629643,0,Non-Bird,6
ee3531e9-cb57-4174-a843-4b19f1cf4dbd,2449421,Tristan Thompson,202684,202684,0,Early Bird,6
24e3e310-024a-479e-b2a7-a1c4423c4954,2449421,Rajon Rondo,200765,200765,0,Non-Bird,6
b8411431-1ed8-44d2-b06b-323058971417,7600000,Dwight Powell,203939,203939,0,Bird,7
c8b7df41-0788-43dc-ac46-fe1f6e254f23,5066667,Nicolo Melli,1629740,1629740,0,Early Bird,7
cdedb0cd-c87c-401e-babb-70ba5f2c8e08,2449421,Kai Jones,1630539,1630539,0,Two-Way,7
f45ec2e0-1f54-4ba4-8bb0-486e9c886642,2449421,Theo Pinson,1629033,1629033,0,Early Bird,7
a2286857-20ad-4b8f-af76-69e0feec3752,2449421,Brandon Williams,1630314,1630314,0,Bird,7
f5c12722-35ed-4541-8fb8-c7079ea75e5a,2185116,Moussa Cisse,1630619,1630619,2185116,Draft Pick,7
5b55a442-8a6d-460b-807c-87773fafc2bd,2185116,Ryan Nembhard,1642948,1642948,2185116,Two-Way,7
bfc7e432-79b0-4447-ab9f-5a35b0a11d83,2185116,Greg Brown III,1630535,1630535,0,Two-Way,7
8d0ddbe8-2403-45e2-9ca0-8a24a3708938,2185116,Moses Wright,1630589,1630589,0,Two-Way,7
74a37537-5030-409c-9f99-8f540f5d6bfb,2185116,McKinley Wright IV,1630593,1630593,0,Two-Way,7
ef850e28-6283-48ab-9f61-671dafe0248b,13069428,Peyton Watson,1631212,1631212,6534714,Restricted Bird,8
05f464c4-8da8-4505-8f2d-4ebacbc84bda,2715526,Incomplete Roster Charge,,,0,,8
9199650e-f5bb-4e27-959d-2b09ee67586d,2650000,Spencer Jones,1642461,1642461,2650000,Draft Pick,8
5dbc7233-3443-4a15-9c5d-71bbabc7001e,2449421,Jalen Pickett,1629618,1629618,0,Bird,8
d5a8dcc4-7cb1-4584-835c-243ff98b9c2f,2449421,Troy Daniels,203584,203584,0,Non-Bird,8
27e49bcd-21b2-4096-a98f-6f135a4eca48,2449421,Vlatko Cancar,1628427,1628427,0,Bird,8
a7bf5873-0113-458e-81f6-5fcbaa89bc07,2449421,DeMarcus Cousins,202326,202326,0,Non-Bird,8
0ad78edf-1409-4f2a-a840-eedcd2b20ee2,2449421,Bruce Brown Jr.,1628971,1628971,0,Non-Bird,8
5dea52df-2bb9-46de-bbf3-d1491b583321,2449421,Justin Holiday,203200,203200,0,Non-Bird,8
63b3dc47-45ca-43c8-bf3c-8070a12a4bb9,2449421,Richard Jefferson,2210,2210,0,Non-Bird,8
166537f2-0ca8-4729-bc5b-9db27a0126e0,2449421,Russell Westbrook,201566,201566,0,Draft Pick,8
3f3d2cac-7d40-49f5-bb92-d48099890c88,2185116,David Roddy,1631223,1631223,2185116,Two-Way,8
1909a7b4-9ea6-4fc2-bef7-bcc1e3b8195a,2185116,Markus Howard,1630210,1630210,0,Two-Way,8
3f47cfe1-9df5-4ab1-b021-308772b65a00,2185116,Curtis Jones,1642938,1642938,0,Non-Bird,8
