id,baseSalary,capHit,capPct,name,payrollType,player,playerId,position,_source_team_ids
2306e6ef-6573-4fb2-9168-b733c2c35748,0,34975962,,Jonathan Kuminga,capHold,1630228,1630228,"PF, SF",1
c9d60aa3-e932-4b58-b883-1e778a2cfe3a,30000000,30000000,,Jalen Johnson,activeRoster,1630552,1630552,"SF, PF",1
d9e414d0-daca-479a-a29c-b615b66f01ec,25000000,25000000,,Dyson Daniels,activeRoster,1630700,1630700,"PG, SG",1
b2bddfaf-8305-4a49-a058-45f644801256,0,21850000,,Gabe Vincent,capHold,1629216,1629216,PG,1
2cee6092-9abd-4385-ad7f-96162ec0559d,21000000,21000000,,CJ McCollum,activeRoster,203468,203468,"SG, PG",1
882d416a-b554-416b-b312-4ad6ad6a6e7c,16100000,16100000,,Onyeka Okongwu,activeRoster,1630168,1630168,C,1
386cfe80-97d4-486e-a203-537aa6b145f8,14403710,14403710,,Nickeil Alexander-Walker,activeRoster,1629638,1629638,SG,1
c2abc0cf-ab06-493b-be33-66068325d2c7,14100000,14100000,,Jock Landale,activeRoster,1629111,1629111,C,1
098add36-056e-47f9-a655-fd80f500be7d,13975000,13975000,,Corey Kispert,activeRoster,1630557,1630557,SF,1
f0042963-28c7-4ea4-9c76-cc5923ab3f40,13826040,13826040,,Zaccharie Risacher,activeRoster,1642258,1642258,SF,1
f4e5deb0-b0b4-48d9-8dd8-3523388d5afb,9658536,9658536,,Buddy Hield,activeRoster,1627741,1627741,"SG, SF",1
da64bf32-a8e4-457f-9bd3-fc3266071b76,8831776,9028038,,Aaron Wiggins,activeRoster,1630598,1630598,SG,1
fa2598b8-4ae6-4ad9-ae85-cb1a5a55b8e0,7348680,7348680,,Kingston Flemings,activeRoster,1643412,1643412,PG,1
71148e2d-27f5-4eb3-b18c-fcd8a97141f2,5158080,5158080,,Devin Carter,activeRoster,1642269,1642269,PG,1
73b07ae3-731e-4318-83b0-3b76a1df4d0d,3453360,3453360,,Zuby Ejiofor,activeRoster,1643544,1643544,PF,1
bdd64716-2d1d-4edb-9eff-83ed08e7254b,3399480,3399480,,Asa Newell,activeRoster,1642854,1642854,PF,1
ca126912-51f9-4ee6-bca4-69bec8f0fa51,0,2449421,,Tony Bradley,capHold,1628396,1628396,C,1
40c43f43-c341-4976-b072-ff30b1c89d16,0,2449421,,Trent Forrest,capHold,1630235,1630235,"SG, PG",1
c0816f97-2dd6-4825-9c43-76acd28c559c,0,2449421,,Wesley Matthews,capHold,202083,202083,"SG, SF",1
a34f69ca-18f3-4b3f-a425-ce0c64dd47c6,0,2449421,,Christian Koloko,capHold,1631132,1631132,C,1
a840d65e-60f6-4a76-931f-f6ed8593f95f,0,2449421,,Keaton Wallace,capHold,1630811,1630811,PG,1
8a63d478-5cb2-43a1-ac8d-0ca208a9e76e,2406205,2406205,,Mouhamed Gueye,activeRoster,1631243,1631243,PF,1
a5ad7802-82b8-4eb4-babb-6224329bde5d,0,2185116,,Dylan Windler,capHold,1629685,1629685,SF,1
