id,arenaName,attendanceCount,attendanceRank,capHolds,city,coachName,confName,confRank,defRatingRank,defRatingValue,divName,"draftPicks({""isActive"":true})",executiveName,longName,lossCount,offRatingRank,offRatingValue,oppgRank,oppgValue,paceRank,paceValue,payroll,ppgRank,ppgValue,primaryColor,salaryCap_activeRosterCap,salaryCap_apron,salaryCap_apronTwo,salaryCap_biAnnualEx,salaryCap_cap,salaryCap_capHold,salaryCap_capSpace,salaryCap_capSpaceWithCapHolds,salaryCap_deadCap,salaryCap_earnedMoney,salaryCap_estLuxuryTaxBill,salaryCap_luxuryTaxSpace,salaryCap_nonTaxpayerMLE,salaryCap_roomMLE,salaryCap_tax,salaryCap_taxpayerMLE,salaryCap_totalCap,salaryCap_totalTaxableSalaries,seasonId,secondaryColor,shortName,srsRank,srsValue,staff,teamId,tertiaryColor,tradeExceptions,transactions,triName,winCount,_source_team_ids
d6af3bad-7ad1-4f11-a312-7574021de6f7,State Farm Arena,670581,27,2306e6ef-6573-4fb2-9168-b733c2c35748|b2bddfaf-8305-4a49-a058-45f644801256|ca126912-51f9-4ee6-bca4-69bec8f0fa51|40c43f43-c341-4976-b072-ff30b1c89d16|a34f69ca-18f3-4b3f-a425-ce0c64dd47c6|c0816f97-2dd6-4825-9c43-76acd28c559c|a840d65e-60f6-4a76-931f-f6ed8593f95f|a5ad7802-82b8-4eb4-babb-6224329bde5d|89d90567-b1c8-441f-8c93-19dd93e2a70f,Atlanta,Quin Snyder,East,6,9,113.7,Southeast,7YqpOuc5rimTKw|ilIF7bn5Jw|07y0k9KKs1_x3g|Z0co_6gnZTDzXz|6IozknPE8ZcOFQ|2VA3nDHWMyoh8q|Q3T2DYCDrTw8Xh|bVgKHIR1XM8xUN|39VTt52PgCm6dM|szUPFtNDBfhAxg|0HS4sDmmDM2EBW|tjm9O4n2FVGCu_|fFpzEqXuVoiMhv|9uT1gJvyuRoGUj|wVPbpw15G07scz|wtZoYOmhQ6A3dO|jIuUdrcyQXN4tX|Ey9_8NUAkdB2Cy|SjcS7cw0CiehO9|SQ-MenFycpfodT|VH_8KblB_hGA7h,Onsi Saleh,Atlanta Hawks,36,14,116.1,18,116.0,5,101.7,2306e6ef-6573-4fb2-9168-b733c2c35748|c9d60aa3-e932-4b58-b883-1e778a2cfe3a|d9e414d0-daca-479a-a29c-b615b66f01ec|b2bddfaf-8305-4a49-a058-45f644801256|2cee6092-9abd-4385-ad7f-96162ec0559d|882d416a-b554-416b-b312-4ad6ad6a6e7c|386cfe80-97d4-486e-a203-537aa6b145f8|c2abc0cf-ab06-493b-be33-66068325d2c7|098add36-056e-47f9-a655-fd80f500be7d|f0042963-28c7-4ea4-9c76-cc5923ab3f40|f4e5deb0-b0b4-48d9-8dd8-3523388d5afb|da64bf32-a8e4-457f-9bd3-fc3266071b76|fa2598b8-4ae6-4ad9-ae85-cb1a5a55b8e0|71148e2d-27f5-4eb3-b18c-fcd8a97141f2|73b07ae3-731e-4318-83b0-3b76a1df4d0d|bdd64716-2d1d-4edb-9eff-83ed08e7254b|ca126912-51f9-4ee6-bca4-69bec8f0fa51|40c43f43-c341-4976-b072-ff30b1c89d16|c0816f97-2dd6-4825-9c43-76acd28c559c|a34f69ca-18f3-4b3f-a425-ce0c64dd47c6|a840d65e-60f6-4a76-931f-f6ed8593f95f|8a63d478-5cb2-43a1-ac8d-0ca208a9e76e|a5ad7802-82b8-4eb4-babb-6224329bde5d|61824337-5f63-4f63-a508-e6b385c2a1ff|8a317304-4bad-48c0-999b-ad572eb61936,6,118.5,#E03A3E,188857129,210690000,223690000,5511000,166000000,71258183,-22857129,-94115312,0,0,-12832871,12832871,15139000,9425000,201690000,6102000,188857129,188857129,2026-2027,#C1D32F,Hawks,12,2.38,3a2060b4-e7e5-40a6-aa27-1aba02507ce5|9d7d440b-68ff-4d54-98c5-d1c900d5e9e0|64a42e52-0f97-40b4-8c6f-755578c51c3f|a9ee011f-c446-4aeb-afe5-9d82476980a2|9004bde7-7324-489e-9ef8-17a49fe25414|ad45d5cc-5ff8-4dfe-90f3-412070be8edf|82909d34-f7ab-423e-8b87-90fa11607d27|6c5bc9b5-65fb-40e0-b608-e82293d26977|b57597ae-fee9-4a1d-b7ec-47fe024ca135|589782e2-9309-4110-ae06-07adca2ca7b1|97741652-f1d1-43bb-8d21-162f78f24525|d790571b-36bd-42d3-91a4-bd42ca4c1e4d|468660c1-99a9-4884-9844-1b13f734a72a|9e31a297-928f-4b0e-b489-b491615434ad|43525a01-9b1b-4a4c-880a-dcbfabecfbb9|536d48d6-27a3-4804-bb94-e47ca0bceb3a|719c7b4f-fc21-4777-890a-27fa1f3b3774|dc170bcc-abfa-4189-ab55-dc71756d8b45,1,#26282A,638bf3c8-932a-4fc0-90fd-abd6fc5316bf|21b90964-604f-439f-b4b3-0f4b572ab08e|58032ca0-30cc-4c93-8c5c-170eecf6c54d|910b6e70-d5b5-4d4b-858c-f5dc065980a2|8f537146-1d8e-4b25-a1bb-ef5319d508f6|9aab3fc8-7984-493f-93cb-0bcc466a432a|5fa25eae-d19c-4cae-8303-5413f0ef68da|7b441164-16a0-43f0-bc2a-a75283d837b0|59bacdd2-7c7c-40b2-9430-43c984c00903|bd363d1b-2061-4894-8d48-87b70444c750|5d598d32-29fd-45ee-b79b-31b0b524965c|d0a1d146-bd73-46f6-9fbf-e4ed41e636f0|cebd3a6b-c192-4a50-8b0f-53b20d982036|bc20aac7-4558-432c-9e4c-d7ca1b20fbca|d03040d1-48d0-45dc-b9de-20c67b8d1913|91e43d4a-ceb3-4185-9b66-868231609616|d99478ec-fcec-4d9e-adc5-eb1e0a14595e|a3d06d60-9abb-4172-9f5f-2d670f364c14|fdbe6552-bba0-4ec5-8a9d-28784820a1d2,a1e06d4a-3486-4bdd-a28b-4688c22cb695|5463d3c9-509a-4943-ab85-eb8f069909d2|bb573c72-94cf-4866-b361-a444d2354d97|4773b0aa-8bd0-4994-96a7-abc5e64f04f8|2dc8064e-c60f-48ba-9731-b773cbc5de81|5ce5b238-9533-48b0-bb52-525aa86d1fd6|7d5196a7-c217-4973-aff1-8437e17f2b02|771c8c0d-2441-408b-b7c3-ea96e19569aa|f4fa09af-3acf-46e0-9ece-c5310d58932e|753637cb-d13e-4376-b83c-c188f085763b|0080e3ac-201f-4ab7-b473-4bce9402cb0d|aac7a0f4-84e6-46b5-8424-5059f258cab0|a72fdad0-b49e-4e19-933c-bf5fcc1c8fee|147e47d8-3ffe-44c5-b99b-2e9e1b3829d0|d3d387cd-234d-4199-802c-50297aad8ef5|36218579-7dd0-4266-ab83-c43fc658fbf2|8dbfe8f8-df5a-400c-9188-3ae291fa1c85|54d1de63-8f13-445a-9d81-6508bb587996|38fbfdc7-ce8b-4a9e-a95a-230ccfb4b2fa|88791f5e-f6e8-4bf3-a40a-d3d3e1c8fcf0|6f2555d9-4e85-4fd3-83db-b67014faeacb|ac1eb09b-c29b-46eb-98b7-e6439761e674|a175761b-9b1b-44d3-9530-f4dbd1c6a423|d133d086-7749-437e-ac2f-44ac013d8a6b|8ce7b8cc-04ce-4abb-aec1-82fa4113ac79|85f3b50a-721e-489c-aa7d-cf9e36c276e3|250f5457-a018-4c15-9760-89cd21c0fcb1|80a1b652-fa5f-4026-9e90-f15f641dea21|adf127ad-6210-42fc-93c5-4430cdc87b1d|8bf64a93-b1a5-4369-97ac-f9cb90efc3d8|87eb6d00-0a84-4e8c-8f3f-af447e2f2311|70054d8d-75ff-40d0-90ca-5945d7c149ee|63790727-9bb9-4916-97a4-465a876c380b|4173e224-fc95-4d8c-814f-b123db776dce|ff57eee4-2d2c-4a41-9d6a-0510e01b7cbd|fb17e0c1-3726-4690-9708-c524ddf8454f|a30a1580-3206-4f70-80ac-0c824a050ebc|5a8bdf46-89f8-4c5c-a9a6-baaf47905872,ATL,46,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
24ffef30-39d2-477f-a739-99f5f8f4edd4,,,,,Golden State,,West,10,,,,,,Golden State Warriors,45,,,,,,,,,,#006BB6,,,,,,,,,,,,,,,,,,,2026-2027,#FDB927,Warriors,,,,10,,,,GSW,37,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
9e885dab-7e4a-4a74-a047-8e2ebccbcb2b,,,,,Houston,,West,5,,,,,,Houston Rockets,30,,,,,,,,,,#CE1141,,,,,,,,,,,,,,,,,,,2026-2027,#000000,Rockets,,,,11,,,,HOU,52,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
cf1d1218-e3ca-4fe1-a6d7-477ed3e2eb5d,,,,,Indiana,,East,14,,,,,,Indiana Pacers,63,,,,,,,,,,#002D62,,,,,,,,,,,,,,,,,,,2026-2027,#FDBB30,Pacers,,,,12,,,,IND,19,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
43181e8e-14c6-4504-963f-a3769ed6b2db,,,,,LA,,West,9,,,,,,LA Clippers,40,,,,,,,,,,#C8102E,,,,,,,,,,,,,,,,,,,2026-2027,#1D42BA,Clippers,,,,13,,,,LAC,42,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
92c65e9d-7141-42e0-aabc-ce5b6e14e834,,,,,Los Angeles,,West,4,,,,,,Los Angeles Lakers,29,,,,,,,,,,#552583,,,,,,,,,,,,,,,,,,,2026-2027,#FDB927,Lakers,,,,14,,,,LAL,53,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
26a27ecb-df88-4f0c-841a-1ba4a2355758,,,,,Memphis,,West,13,,,,,,Memphis Grizzlies,57,,,,,,,,,,#5D76A9,,,,,,,,,,,,,,,,,,,2026-2027,#12173F,Grizzlies,,,,15,,,,MEM,25,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
61d2f3f5-086c-4a8f-a3fd-4a1cbf9bda69,,,,,Miami,,East,10,,,,,,Miami Heat,39,,,,,,,,,,#98002E,,,,,,,,,,,,,,,,,,,2026-2027,#F9A01B,Heat,,,,16,,,,MIA,43,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
5ba0e49a-e84c-43ce-9c17-65d77450b122,,,,,Milwaukee,,East,11,,,,,,Milwaukee Bucks,50,,,,,,,,,,#00471B,,,,,,,,,,,,,,,,,,,2026-2027,#EEE1C6,Bucks,,,,17,,,,MIL,32,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
40617878-bd99-4c24-8d39-7524f37ea0a1,,,,,Minnesota,,West,6,,,,,,Minnesota Timberwolves,33,,,,,,,,,,#0C2340,,,,,,,,,,,,,,,,,,,2026-2027,#236192,Timberwolves,,,,18,,,,MIN,49,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
096b1251-fa2c-4820-b2ea-c11106a087c2,,,,,New Orleans,,West,11,,,,,,New Orleans Pelicans,56,,,,,,,,,,#0C2340,,,,,,,,,,,,,,,,,,,2026-2027,#C8102E,Pelicans,,,,19,,,,NOP,26,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
ffe53dfd-b1a5-4e44-92c8-b522e916ca75,,,,,Boston,,East,2,,,,,,Boston Celtics,26,,,,,,,,,,#007A33,,,,,,,,,,,,,,,,,,,2026-2027,#BA9653,Celtics,,,,2,,,,BOS,56,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
80bf4291-2897-457b-8238-4ac5a1994b76,,,,,New York,,East,3,,,,,,New York Knicks,29,,,,,,,,,,#006BB6,,,,,,,,,,,,,,,,,,,2026-2027,#F58426,Knicks,,,,20,,,,NYK,53,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
b0ee8176-57ff-47c0-9c75-357fb2ff4087,,,,,Oklahoma City,,West,1,,,,,,Oklahoma City Thunder,18,,,,,,,,,,#007AC1,,,,,,,,,,,,,,,,,,,2026-2027,#EF3B24,Thunder,,,,21,,,,OKC,64,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
e356f4ae-3110-492f-b7cb-3da85bc81de8,,,,,Orlando,,East,8,,,,,,Orlando Magic,37,,,,,,,,,,#0077C0,,,,,,,,,,,,,,,,,,,2026-2027,#C4CED4,Magic,,,,22,,,,ORL,45,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
4f1c8113-e29f-4beb-a361-ea99b8bbf629,,,,,Philadelphia,,East,7,,,,,,Philadelphia 76ers,37,,,,,,,,,,#006BB6,,,,,,,,,,,,,,,,,,,2026-2027,#ED174C,76ers,,,,23,,,,PHI,45,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
7a1e60c0-5c41-46a3-8eab-bb5d9abc0214,,,,,Phoenix,,West,7,,,,,,Phoenix Suns,37,,,,,,,,,,#1D1160,,,,,,,,,,,,,,,,,,,2026-2027,#E56020,Suns,,,,24,,,,PHX,45,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
0cb1e60e-ce83-4f6c-a33f-c707cf86fa71,,,,,Portland,,West,8,,,,,,Portland Trail Blazers,40,,,,,,,,,,#E03A3E,,,,,,,,,,,,,,,,,,,2026-2027,#000000,Trail Blazers,,,,25,,,,POR,42,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
1d738625-c086-488c-ac22-6408b3649e4f,,,,,Sacramento,,West,14,,,,,,Sacramento Kings,60,,,,,,,,,,#5A2D81,,,,,,,,,,,,,,,,,,,2026-2027,#63727A,Kings,,,,26,,,,SAC,22,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
d955c11b-889a-4aae-8eef-5d31d89eeb14,,,,,San Antonio,,West,2,,,,,,San Antonio Spurs,20,,,,,,,,,,#8A8D8F,,,,,,,,,,,,,,,,,,,2026-2027,#EF426F,Spurs,,,,27,,,,SAS,62,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
7890ee9c-551d-4442-b31a-eb51e9ae7d0b,,,,,Toronto,,East,5,,,,,,Toronto Raptors,36,,,,,,,,,,#CE1141,,,,,,,,,,,,,,,,,,,2026-2027,#000000,Raptors,,,,28,,,,TOR,46,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
218d91c3-c135-4482-90cf-aeaf074822a5,,,,,Utah,,West,15,,,,,,Utah Jazz,60,,,,,,,,,,#002B5C,,,,,,,,,,,,,,,,,,,2026-2027,#00471B,Jazz,,,,29,,,,UTA,22,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
